product_name,official_url,supported_os,browser_engine,automation_interfaces,team_features,proxy_support,data_storage,free_plan,evidence_level,source_url,checked_at,notes
AdsPower,https://www.adspower.com/,"Windows 10+;macOS 11+;Ubuntu Desktop 22.04+","SunBrowser (Chromium);FlowerBrowser (Firefox)","Local API;RPA","成员角色与权限;环境分享","可为浏览器环境配置代理","本地缓存;可选云端同步","2个环境;1个超级管理员;0个普通成员",cross_checked,"https://help.adspower.com/docs/system_requirements;https://help.adspower.com/docs/creating_browser_profiles;https://help.adspower.com/docs/api;https://help.adspower.com/docs/rpa;https://help.adspower.com/docs/members;https://help.adspower.com/docs/global_settings;https://www.adspower.com/pricing",2026-07-17,"操作系统、内核、自动化、团队和免费额度分别由官方帮助中心及价格页支持；未进行本地安装测试。"
Multilogin,https://multilogin.com/,"Windows 10+;macOS 14+;Ubuntu 22+;仅64位","Mimic (Chromium系);Stealthfox (Firefox系;legacy)","API;Selenium;Puppeteer;Playwright","工作区角色与权限;团队席位","内置代理;自定义代理","云端存储;本地存储;移动环境仅云端","5个环境;连续7天未启动任何环境可能被自动删除",cross_checked,"https://multilogin.com/help/en_US/minimum-system-requirements;https://multilogin.com/help/en_US/quick-browser-profiles;https://multilogin.com/help/puppeteer-selenium-and-playwright;https://multilogin.com/help/en_US/workspace-roles-and-permissions;https://multilogin.com/help/profile-settings-proxy-section;https://multilogin.com/help/en_US/profile-management/cloud-and-local-storage;https://multilogin.com/pricing/",2026-07-17,"官方帮助页将Stealthfox标记为legacy，并说明不再获得内核更新；当前列出的最新版本为v146。价格页同时覆盖浏览器环境与云手机。"
GoLogin,https://gologin.com/,"Windows 10/11;Windows Server 2016;macOS 12-26;Ubuntu;Mint;Android 10+;仅64位","Orbita (Chromium)","REST API;Puppeteer;Playwright;Selenium","环境分享;工作区角色;Business及以上可添加成员","内置代理;第三方代理","云端同步;运行时本地临时数据","3个环境;不含分享、团队成员、云端运行与API",cross_checked,"https://support.gologin.com/en/articles/3452486-supported-platforms-installation;https://support.gologin.com/en/articles/14853789-orbita-browser;https://support.gologin.com/en/articles/5461004-api-gologin;https://support.gologin.com/en/articles/14810554-how-to-share-profiles;https://support.gologin.com/en/articles/14442381-built-in-proxy-manager;https://support.gologin.com/en/articles/14404855-profile-synchronization;https://support.gologin.com/en/articles/15451173-storage-cache-management;https://support.gologin.com/en/articles/14617029-pricing",2026-07-17,"macOS 26来自当前官方支持列表；具体兼容范围可能随版本变化。云端为主但运行时仍会产生本地临时数据。"
Dolphin Anty,https://dolphin-anty.com/,"Windows;macOS;Linux","Anty (Chromium)","API;DevTools Protocol;Puppeteer;Playwright;Selenium","成员角色;环境分享与转移","自定义代理;代理批量管理与分享","本地存储;可选云端同步","5个环境;1个用户",cross_checked,"https://docs.dolphin-anty.com/en/getting-started/quick-start-in-dolphin-anty;https://docs.dolphin-anty.com/en/getting-started/guidelines-for-setting-up-a-profile-dolphin-anty;https://docs.dolphin-anty.com/en/api/basic-automation-dolphin-anty;https://docs.dolphin-anty.com/en/teamwork/how-to-transfer-and-share-a-browser-profile-in-dolphin-anty;https://docs.dolphin-anty.com/en/working-with-profiles/profile-cloud-sync;https://dolphin-anty.com/tarifs/",2026-07-17,"官方设置文档明确写明Dolphin Anty基于Chromium；价格页表格同时出现Chrome or Firefox engine字样，因此不把Firefox支持作为已确认事实。"
MoreLogin,https://www.morelogin.com/,"Windows 10 64位+;macOS 12.6.1+","Chrome;Firefox","Local API;Selenium;Puppeteer","超级管理员、管理员、经理、成员角色;环境授权","主流代理接入;代理管理与购买","本地缓存;可选云端同步","2个环境;2个成员",cross_checked,"https://support.morelogin.com/en/articles/10183527-how-to-use-morelogin;https://support.morelogin.com/en/articles/10137340-morelogin-overview;https://support.morelogin.com/en/articles/10204806-browser-profile;https://support.morelogin.com/en/articles/10137638-team-management;https://support.morelogin.com/en/articles/10198603-setting-center;https://support.morelogin.com/en/articles/10137594-subscription-packages",2026-07-17,"浏览器环境可模拟Windows、macOS、Android和iOS参数；客户端支持系统与环境模拟系统不是同一概念。"
Web4 Browser,https://web4browser.io/cn/,"Windows 10/11 x64;macOS 12+ (Intel/Apple Silicon)","Fingerprint Chromium;Fingerprint Firefox","CDP;Selenium;Puppeteer;Playwright;Headless;MCP","付费套餐提供团队成员与协作功能","HTTP;HTTPS;SOCKS5","浏览器数据默认本地存储","3个环境;0个团队成员",cross_checked,"https://web4browser.io/cn/download.html;https://web4browser.io/cn/features.html;https://web4browser.io/cn/help.html;https://web4browser.io/cn/pricing.html;https://web4browser.io/pricing.html",2026-07-17,"只使用公开页面；中英文价格页在本次核查时对免费、入门、小团队、热门和规模团队套餐的公开数字一致。未使用产品内部数据。"
BitBrowser,https://www.bitbrowser.cn/,"Windows 10+ x64;macOS 12+ (Intel/Apple Silicon)","Google内核系;Firefox内核系","Local API;RPA;窗口同步","多人协作;权限管理;环境分享与转移","HTTP;HTTPS;SOCKS5;SSH","本地环境数据;付费版提供导出、备份与数据同步","10个环境;1个成员;每日打开50次;每日新建20个",cross_checked,"https://www.bitbrowser.cn/;https://www.bitbrowser.cn/download;https://www.bitbrowser.cn/price;https://doc2.bitbrowser.cn/jiekou.html",2026-07-23,"只记录指纹浏览器客户端字段；比特云手机Android版和iOS版属于不同产品形态。官网使用“Google、Firefox内核深度开发”表述，本项目不进一步猜测具体分支和版本。"
VMLogin,https://www.vmlogin.com.cn/,"Windows 7/8/10/11;Windows Server 2016;x86/x64（推荐x64）","Chromium（当前版本号未确认）","REST API;Selenium;Puppeteer","主账号与子账号;环境分享与转移","HTTP;HTTPS;SOCKS4;SOCKS5;IPv6","本地存储;可选云同步","无长期免费版;新用户可申请3天试用;试用保存5个环境",cross_checked,"https://www.vmlogin.com.cn/help/get-started/system-requirements.html;https://www.vmlogin.com.cn/help/introduction.html;https://www.vmlogin.com.cn/help/api/automation-interfaces.html;https://www.vmlogin.com.cn/help/get-started/trial.html;https://www.vmlogin.com.cn/pricing.html",2026-07-23,"客户端目前只支持Windows；可模拟Windows、macOS、Linux、Android和iOS浏览器参数不等于相应系统上存在客户端。官方内核更新页仍展示较旧Chromium版本，因此不把该版本写成当前内核。"
Hubstudio,https://www.hubstudio.cn/,"Windows 7+","ChroBrowser;FireBrowser","Local API;Selenium;Puppeteer;Playwright;Headless","团队成员;环境转移;团队code权限对象","第三方代理接入;官方不直接提供代理","环境数据同步;云端存储","环境数不限;每日打开20次;成员数与云存储仅标为限免",cross_checked,"https://www.hubstudio.cn/pricing/index.html;https://support-orig.hubstudio.cn/373a/0bfa;https://support-orig.hubstudio.cn/645e/2879;https://api-docs.hubstudio.cn/;https://support-orig.hubstudio.cn/7794/e409",2026-07-23,"公开文档对ChroBrowser内核版本存在100、109以上等不同口径，因此只记录内核名称，不记录统一版本。当前快速入门页明确列出的客户端为Windows。"
Roxy Browser,https://roxybrowser.cn/,"Windows 10+;Windows Server 2016+;macOS 10.12+;Linux（FAQ列出但下载与系统要求页未列）","Chromium;Firefox","Local API;Selenium;Puppeteer;Playwright;窗口同步;AI Agent","团队空间;项目;角色权限;邀请与分配","自定义代理;代理商店;HTTP;SOCKS5","本地优先;可选云端同步","5个环境;3个项目;另有一次7天10环境试用",cross_checked,"https://roxybrowser.cn/docs/quick/System-requirements.html;https://roxybrowser.cn/docs/faqs/problem.html;https://roxybrowser.cn/docs/api-documentation/api-reference.html;https://roxybrowser.cn/docs/features/profile-configuration.html;https://roxybrowser.cn/pricing",2026-07-23,"系统要求页只列Windows与macOS，FAQ另称支持Linux，故Linux保留冲突标记。窗口同步目前只支持Windows。安全、通过率和用户数量等官网主张不作为已验证事实。"
